#value	pattern_data	pattern_string	frequency
448	3,239,263	3|OXX|X.X|###|	20187
449	3,12,257	3|O..|..X|X.O|	20041
450	3,10,228	3|.OO|O.X|OX.|	19983
451	3,2,133	3|.O.|...|OXO|	19977
452	3,78,160	3|.OX|O.X|XX.|	19928
453	3,111,335	3|O.#|X.#|###|	19896
454	3,109,128	3|.OX|X.X|X.X|	19810
455	3,69,288	3|O.X|O..|X.X|	19653
456	3,68,34	3|..X|O..|XO.|	19531
457	3,3,196	3|.OO|...|OXX|	19524
458	3,3,224	3|.OO|O..|.XX|	19485
459	3,5,224	3|.OO|O..|X.X|	19481
460	3,0,327	3|O.O|...|OOO|	19393
461	3,12,352	3|O.O|O.X|X..|	19359
462	3,108,0	3|..X|X.X|X..|	19310
463	3,0,173	3|.O.|O.O|O.O|	19261
464	3,14,320	3|O.O|..X|XX.|	19238
465	3,2,200	3|.OO|..O|.X.|	19127
466	3,5,66	3|..O|...|XOX|	19085
467	3,0,107	3|..O|O.O|.OO|	19010
468	3,101,384	3|OOX|X..|X.X|	18973
469	3,98,9	3|..X|X.O|.XO|	18957
470	3,97,8	3|..X|X.O|..X|	18901
471	3,98,8	3|..X|X.O|.X.|	18726
472	3,14,384	3|OO.|..X|XX.|	18574
473	3,0,231	3|.OO|O..|OOO|	18528
474	3,106,132	3|.OX|X.X|OX.|	18512
475	3,7,456	3|OOO|..O|XXX|	18487
476	3,173,0	3|.X.|X.X|X.X|	18486
477	3,10,352	3|O.O|O.X|.X.|	18477
478	3,68,33	3|..X|O..|X.O|	18443
479	3,5,362	3|O.O|O.O|XOX|	18413
480	3,15,448	3|OOO|..X|XXX|	18413
481	3,15,192	3|.OO|..X|XXX|	18372
482	3,2,197	3|.OO|...|OXO|	18355
483	3,15,71	3|..O|..X|###|	18334
484	3,3,140	3|.O.|..O|OXX|	18327
485	3,107,0	3|..X|X.X|.XX|	18292
486	3,107,457	3|OO#|X.#|.X#|	18288
487	3,327,0	3|X.X|...|XXX|	18237
488	3,101,8	3|..X|X.O|X.X|	18182
489	3,42,448	3|OOO|X.X|.X.|	18152
490	3,43,448	3|OOO|X.X|.XX|	18031
491	3,2,140	3|.O.|..O|OX.|	18017
492	3,70,384	3|OOX|...|XX.|	18006
493	3,13,160	3|.O.|O.X|X.X|	17978
494	3,173,320	3|OXO|X.X|X.X|	17966
495	3,2,168	3|.O.|O.O|.X.|	17962
496	3,12,162	3|.O.|O.X|XO.|	17939
497	3,7,232	3|.OO|O.O|XXX|	17911
498	3,40,65	3|..O|X.X|..O|	17713
499	3,43,68	3|..O|X.X|OXX|	17656
500	3,2,101	3|..O|O..|OXO|	17655
501	3,3,456	3|OOO|..O|.XX|	17585
502	3,170,69	3|.XO|X.X|OXO|	17538
503	3,231,0	3|.XX|X..|XXX|	17516
504	3,2,76	3|..O|..O|OX.|	17466
505	3,41,260	3|O..|X.X|O.X|	17448
506	3,7,168	3|.O.|O.O|XXX|	17439
507	3,106,129	3|.OX|X.X|.XO|	17360
508	3,1,172	3|.O.|O.O|O.X|	17072
509	3,5,490	3|OOO|O.O|XOX|	16956
510	3,106,256	3|O.X|X.X|.X.|	16874
511	3,40,66	3|..O|X.X|.O.|	16839
512	3,70,136	3|.OX|..O|XX.|	16831
513	3,109,331	3|O.#|X.#|XO#|	16806
514	3,110,257	3|O.X|X.X|XXO|	16764
515	3,101,2	3|..X|X..|XOX|	16752
516	3,3,484	3|OOO|O..|OXX|	16705
517	3,0,103	3|..O|O..|OOO|	16580
518	3,79,288	3|O.X|O.X|XXX|	16571
